id,medal_color,year,discipline
1324709580,gold,1906,Team competition
1270670431,silver,1968,Dragon class
1327306956,gold,1920,"Team, free system"
1279451295,silver,1928,6 metre class
1306016906,silver,1920,"Team, swedish system"
1291918790,silver,1948,Double sculls
1306016635,bronze,1912,"Team, free system"
1306018403,silver,1920,"Team, swedish system"
1313624694,silver,1932,"Greco-roman, lightweight"
1275805158,silver,1948,Coxless four
1306018333,silver,1912,"Team, swedish system"
1293980975,silver,2008,Team pursuit
1306016895,silver,1920,"Team, swedish system"
1319691441,silver,1920,"Team, swedish system"
1304706477,bronze,2012,49er class
1331384917,bronze,2024,Team competition
1332303041,silver,2020,Madison
1265267576,bronze,1908,Middleweight
1302756642,silver,2012,Skeet
1302757390,gold,1920,"Team 300 m military rifle, standing"
1302757390,silver,1900,Kneeling military rifle
1302757390,silver,1900,Prone military rifle
1302757390,silver,1900,Three positions military rifle
1327304731,silver,1920,Flyweight
1302757783,gold,1920,"Team 300 m military rifle, standing"
1318170627,bronze,2008,Team dressage
1280318145,silver,1920,Team competition
1331384198,gold,1996,Team competition
1331384198,gold,2000,Team competition
1331383495,gold,1996,Team competition
1331384086,gold,1996,Team competition
1331384717,gold,2000,Team competition
1331385061,gold,1996,Team competition
1327184511,bronze,2016,W2-
1270710049,silver,1984,Individual dressage
1332302262,bronze,2024,Team competition
1304706559,bronze,2008,Team dressage
1317498417,gold,2020,Laser radial
1317498417,silver,2024,Laser radial
1317498417,bronze,2016,Laser radial
1310779868,silver,1912,Team competition
1260902620,bronze,1960,K-1 4 × 500 m
1306016867,silver,1920,"Team, swedish system"
1271102169,silver,1992,C-2 1000 m
1327307119,bronze,1912,"Team, free system"
1304706573,silver,1908,Team competition
1306016504,bronze,1912,"Team, free system"
1310779912,silver,1912,Team competition
1304706580,bronze,1948,Team competition
1273786724,bronze,1948,Sprint
1310779944,silver,1912,Team competition
1260902709,silver,1988,200 m butterfly
1260902740,silver,1960,Team competition
1308912054,gold,1952,C-2 1000 m
1270710718,silver,1948,K-2 1000 m
1270329230,bronze,1984,Coxed quad sculls
1325496738,bronze,1948,10 metre platform
1328236947,gold,1964,Coxless four
1304706590,silver,1908,Team competition
1237983202,bronze,1984,Coxed quad sculls
1322514662,bronze,1992,Super heavyweight
1270834480,bronze,1948,Coxed four
1331383505,gold,1996,Team competition
1331383505,gold,2000,Team competition
1331115318,silver,2000,Women's singles
1331385067,gold,2004,Team competition
1306016491,silver,1906,Team competition
1256706609,bronze,1908,93 kg
1306017222,bronze,1912,"Team, free system"
1306017426,silver,1912,"Team, swedish system"
1314832283,silver,1906,Team competition
1287262147,gold,1912,"Coxed four, inriggers"
1306018017,bronze,1912,"Team, free system"
1287262157,gold,1912,"Coxed four, inriggers"
1229459698,gold,1948,Coxed pair
1327732345,silver,2012,Men's doubles
1323148097,silver,2008,Team pursuit
1328815057,gold,2016,Team competition
1304706600,bronze,2016,Team pursuit
1323968540,silver,2024,Team dressage
1310779418,silver,1908,Team competition
1310779418,silver,1912,Team competition
1306017157,bronze,1912,"Team, free system"
1317516284,gold,1900,Team competition
1323780369,silver,1908,Team competition
1309988223,silver,1992,C-2 1000 m
1288970948,gold,1988,Flying dutchman
1306016725,bronze,1912,"Team, free system"
1287330157,gold,1912,"Coxed four, inriggers"
1306016837,gold,1920,"Team, free system"
1279451245,silver,1924,6 metre class
1327184263,gold,1920,"Team, free system"
1306018353,bronze,1912,"Team, free system"
1306018357,gold,1920,"Team, free system"
1298084086,silver,1956,Dragon class
1298084086,gold,1964,Dragon class
1280804088,bronze,2004,Yngling
1331384940,gold,2000,Team competition
1318415455,silver,2016,Women's doubles
1318415455,bronze,2012,Mixed doubles
1331384074,gold,1996,Team competition
1272848863,silver,1956,Dragon class
1288970963,gold,1988,Points race
1299063822,silver,2024,Team dressage
1304706621,bronze,1948,Team competition
1328012083,bronze,2004,Yngling
1292548989,silver,1998,Team competition
1319957427,silver,1920,"Team, swedish system"
1276456685,silver,1948,Double sculls
1270666760,gold,1900,Team competition
1316719261,bronze,2024,80 kg
1276456664,silver,1924,Tandem
1315046201,bronze,1948,Team competition
1324892159,silver,1908,Team competition
1306017794,silver,1912,"Team, swedish system"
1327304991,bronze,1912,Men's coxed four
1287997500,gold,1912,"Coxed four, inriggers"
1327306534,silver,1920,Team competition
1271102294,silver,1948,K-2 1000 m
1304706651,gold,1924,"Foil, individual"
1304706656,bronze,1932,200 m breaststroke
1330685942,gold,2024,Team competition
1330685942,silver,2020,Team competition
1322435048,silver,1912,Team competition
1326877371,gold,2024,Team competition
1332302317,bronze,2024,Team competition
1316736642,silver,2016,K-1 500 m
1316736642,bronze,2020,K-1 200 m
1316736642,bronze,2020,K-1 500 m
1316736642,bronze,2024,K-1 500 m
1287997845,bronze,1912,Men's coxed four
1270856398,bronze,1984,Coxless four
1260903346,gold,1960,K-1 1000 m
1260903346,bronze,1960,K-1 4×500 m relay
1260903346,bronze,1968,K-1 1000 m
1280806132,gold,1976,Soling class
1280806132,gold,1980,Soling class
1327308057,silver,1920,Team competition
1306017261,silver,1906,Team competition
1325475848,bronze,1948,Team competition
1270326351,bronze,1948,Coxed four
1328237945,gold,1964,Coxless four
1302758000,gold,1920,Team military rifle
1329548005,bronze,1960,K-1 4×500 m
1331548000,bronze,1948,Team competition
1319699488,bronze,1900,400 m
1331115155,gold,1996,Lightweight coxless four
1331115155,gold,2004,Lightweight coxless four
1331115155,gold,2008,Lightweight coxless four
1331115155,bronze,2000,Lightweight coxless four
1331115155,bronze,2012,Lightweight coxless four
1327306170,gold,1900,Team competition
1304082022,silver,1948,4x100 m freestyle relay
1304706687,silver,2012,Single sculls
1327184047,gold,1952,C-2 1000 m
1292756299,gold,1948,Coxed pair
1328011647,bronze,2004,Doubles
1260903584,silver,1960,Team competition
1327307912,silver,1920,Team competition
1306016712,silver,1920,"Team, swedish system"
1304706697,bronze,2020,Coxless pair
1306016698,silver,1920,"Team, swedish system"
1331114520,silver,2020,Team pursuit
1331114520,bronze,2016,Team pursuit
1256597897,silver,1948,4×100 m freestyle
1317235085,silver,1924,Individual three-day event
1269845969,silver,1932,Team road race
1327307780,gold,1920,"Team, free system"
1306018396,silver,1920,"Team, swedish system"
1306016288,silver,1912,"Team, swedish system"
1277401728,gold,1992,50 kg
1270999189,bronze,1936,Welterweight
1328879354,bronze,1976,Team time trial
1331384558,gold,1996,Team competition
1331385051,gold,1996,Team competition
1156815669,gold,1996,Lightweight coxless four
1156815669,bronze,2000,Lightweight coxless four
1156815669,gold,2004,Lightweight coxless four
1156815669,gold,2008,Lightweight coxless four
1156815669,bronze,2012,Lightweight coxless four
1156815669,silver,2016,Lightweight coxless four
1303553571,silver,1920,Lightweight
1332018232,gold,1948,100 m freestyle
1332018232,silver,1948,4×100 m freestyle
1238157004,bronze,1924,"Foil, individual"
1323146494,gold,1968,Team pursuit
1327184399,bronze,1912,"Team, free system"
1327184399,silver,1906,Team competition
1260928372,bronze,1984,Coxed quad sculls
1270656832,silver,1920,Team competition
1304706724,silver,1960,Team competition
1306018336,silver,1920,"Team, swedish system"
1260903779,bronze,1948,Team competition
1306018062,silver,1912,"Team, swedish system"
1328068800,silver,1960,Flying dutchman
1328068800,bronze,1984,Soling class
1270656516,silver,1920,Team competition
1272312667,gold,1924,Lightweight
1306017183,silver,1920,"Team, swedish system"
1275663140,silver,1920,Team competition
1277826809,gold,1980,Skeet
1306018340,silver,1920,"Team, swedish system"
1288232018,gold,2024,Team competition
1330597587,bronze,1936,"Eventing, individual"
1279444696,silver,1912,6 metre class
1306018052,silver,1912,"Team, swedish system"
1306018052,silver,1920,"Team, swedish system"
1306016678,silver,1912,"Team, swedish system"
1271677032,bronze,1980,Pursuit
1296519412,silver,1908,Team competition
1306016373,silver,1906,Team competition
1276440954,bronze,1932,Tandem
1310779471,silver,1908,Team competition
1310779471,silver,1912,Team competition
1306017245,silver,1906,Team competition
1321362115,silver,1960,Team competition
1306016601,gold,1920,"Team, free system"
1270717774,bronze,1968,Coxed pair
1270326347,bronze,1948,Coxed four
1260903871,silver,1936,Coxless pair
1318144402,gold,1920,"Team, free system"
1304706731,bronze,2016,Coxless pair
1331383562,gold,1996,Team competition
1292548922,silver,1998,Team competition
1332302323,bronze,2024,Team competition
1327182699,silver,1948,Coxless four
1260903983,silver,1948,Coxless four
1305699899,bronze,2004,Yngling
1323128308,bronze,1960,K-1 4×500 m
1289293395,silver,1960,Team competition
1282671977,silver,1920,Team competition
